,id_komentar,nama_akun,tanggal,text_cleaning,text_cleaning_cleaned,sentimen,text_cleaning_initial
21,UgzcY_niXwmvdUpXeLF4AaABAg,pelaut tradisional,2023-07-22 13:36:57+00:00,apa sieh kok mbulet asli yo tiap spbu seluruh indonesia tempat nge charge wes laku orng   mau beli knp milih   konvensional   keluar kota khawatir mau ngecarger wong   semua tempat sedia masak   keluar daerah pulang ditowing   lucu,sieh mbulet asli spbu indonesia nge charge laku orang beli pilih konvensional kota khawatir ngecarger orang sedia masak daerah pulang ditowing lucu,negatif,apa sieh kok mbulet asli iya tiap spbu seluruh indonesia tempat nge charge sudah laku orang   mau beli kenapa memilih   konvensional   keluar kota khawatir mau ngecarger orang   semua tempat sedia masak   keluar daerah pulang ditowing   lucu
22,Ugx7fgw4nttAS5QYwBR4AaABAg,Heangky Edem,2023-07-22 04:10:12+00:00,buat larang jual kendara konvensional,larang jual kendara konvensional,negatif,buat larang jual kendara konvensional
23,Ugym8DQyKPAzJntZCeZ4AaABAg,Deddy jagad semesta,2023-07-20 07:40:34+00:00,tambah bikin rakyat susah,bikin rakyat susah,netral,tambah bikin rakyat susah
24,UgxgCpUNJ5kpih1J6fN4AaABAg,Kris ND,2023-07-17 06:33:24+00:00,ekosistem siap malah maksain suruh beli kendara   sesuai banget,ekosistem paksa suruh beli kendara sesuai,positif,ekosistem siap malah memaksakan suruh beli kendara   sesuai banget
25,UgxFMeOytVzzJo6iy5F4AaABAg,TopTrainers,2023-07-16 06:30:59+00:00,jual ev naik jual genset bakal naik ni,jual ev jual genset,positif,jual ev naik jual genset bakal naik nih
26,UgxcvX9LMnprk35PR3d4AaABAg,parkir anovo,2023-07-13 05:17:26+00:00,contohin dulu semua menteri dpr mpr guna listri,contohin menteri dewan wakil rakyat majelis musyawarat rakyat listri,negatif,contohin dulu semua menteri dewan perwakilan rakyat majelis permusyawaratan rakyat guna listri
27,UgzeccWl2H7OLv0hhI54AaABAg,Ida satya Ananda,2023-07-13 04:49:15+00:00,sedia station charging masalah   motor   rame   notaben sering pake jalan jauh was was habis batre   sation ribet   motor paling pake komplek,sedia station charging motor ramai notaben pakai jalan habis baterai sation ribet motor pakai kompleks,negatif,sedia station charging masalah   motor   ramai   notaben sering pakai jalan jauh was was habis baterai   sation ribet   motor paling pakai kompleks
28,UgwYT_PmnyAsk3O3dip4AaABAg,Benny Wicaksono,2023-07-12 07:45:19+00:00,subsidi bbm cabut mahal trus muncul si bilang hemat sih analogi okok non okok banyak teori     rokok hari sekian bulan sekian tahun kebel nmax fakta     rokok   kebel motor  tetap    sama kredit biarpun   rokok   kumpul duit segitu pake bbm keluar biaya sekian biaya perawan dl tahun sekian juta   pake cuma sekian,subsidi bahan bakar minyak pergi mahal muncul bilang hemat analogi okok non okok teori rokok sekian sekian kebel nmax fakta rokok kebel motor kredit biarpun rokok kumpul duit pakai bahan bakar minyak biaya sekian biaya perawan sekian juta pakai sekian,negatif,subsidi bahan bakar minyak pergi mahal terus muncul sih bilang hemat sih analogi okok non okok banyak teori     rokok hari sekian bulan sekian tahun kebel nmax fakta     rokok   kebel motor  tetap    sama kredit biarpun   rokok   kumpul duit sebegitu pakai bahan bakar minyak keluar biaya sekian biaya perawan dulu tahun sekian juta   pakai cuma sekian
29,Ugz6oZ8eFg8_9QCkfHx4AaABAg,Ary Nawan,2023-07-12 06:29:27+00:00,harga sperpartnya,harga sperpartnya,positif,harga sperpartnya
30,Ugw4c0eMIKC1XcKtYa14AaABAg,Zar,2023-07-11 15:18:15+00:00,ev msih nyaman dsni   dipaksain paling cman jabodetabek kota besar provinsi   tahan beli dlu skalian nunggu sodium battery solidstate battery,ev nyaman dipaksain jabodetabek kota provinsi tahan beli tunggu sodium battery solidstate battery,positif,ev masih nyaman di sini   dipaksain paling cuma jabodetabek kota besar provinsi   tahan beli dulu sekalian menunggu sodium battery solidstate battery
31,Ugxnals4WC_p0IuGVsB4AaABAg,agung nugroho,2023-07-11 14:14:22+00:00,nungguin ganti lithium solid state battery rilis resmi,tunggu ganti lithium solid state battery rilis resmi,positif,menunggu ganti lithium solid state battery rilis resmi
32,UgztaWg5eBCTHJUotox4AaABAg,ANWAR A,2023-07-11 13:44:22+00:00,dukung terus doa negara makmur produksi sndirikan,dukung doa negara makmur produksi sndirikan,positif,dukung terus doa negara makmur produksi sndirikan
33,UgwAD3ZeI8HU7tJghSZ4AaABAg,RandomWM,2023-07-10 13:16:11+00:00,suat   baru kata   jaman dlu kala efisien tinggal ngerepotin efisien mahal mudah rusak beda brand beda bentuk baterai beda bentuk power outlet beda besar baterai dl,suat jaman efisien tinggal repot efisien mahal mudah rusak beda merek beda bentuk baterai beda bentuk power outlet beda baterai,positif,suat   baru kata   jaman dulu kala efisien tinggal merepotkan efisien mahal mudah rusak beda merek beda bentuk baterai beda bentuk power outlet beda besar baterai dulu
34,Ugz4NDNw8nbSFfxM8354AaABAg,Nicky Anderson,2023-07-09 23:40:18+00:00,pake atur   buat jd laku   larang bahkan ancam pidana   jual beli   non listtik gampang,pakai atur laku larang ancam pidana jual beli non listtik gampang,negatif,pakai atur   buat jadi laku   larang bahkan ancam pidana   jual beli   non listtik gampang
35,UgwpTFEpxjsXFSKYaV14AaABAg,yudhi mypras,2023-07-09 22:51:21+00:00,  masyarakat ingin harga jual batre   murah baru mau beli,masyarakat harga jual baterai murah beli,positif,  masyarakat ingin harga jual baterai   murah baru mau beli
36,Ugxm86L-s7nkGvFeGhd4AaABAg,Putra Perdana,2023-07-09 09:53:45+00:00,aneh banget subsidi kendara pribadi pake anggar negara bayar usaha malah dorong program ada ev buat jabat ngasih duit buat kkn proyek ada ev jabat   punya saham usaha sembari dapet baru pake anggar negara   dapat ras duit pajak masyarakat kecil padahal transportasi publik sendiri pada cuman jakarta kota kota   bantu   dorong kembang layan transportasi publik rata nih padahal ahli kota nyata bijak solid transportasi publik turun macet hingga efisiensi sistem gera kota lebih tepat waktu kendara jalan lebih efisien warga kecil nikmat akhir gera ekonomi lebih lancar akibat lain kurang polusi fasilitas dukung transport publik tingkat trotoar lebar lahan pkl rapi toko pinggir jalan hidup dl masyarakat kecil lebih banyak sempat buka usaha jalan   banyak lalu transportasi publik sebab semua susah jadi paragraf ,aneh subsidi kendara pribadi pakai anggar negara bayar usaha dorong program ev jabat duit kkn proyek ev jabat saham usaha sembari pakai anggar negara ras duit pajak masyarakat transportasi publik jakarta kota kota bantu dorong kembang layan transportasi publik ahli kota nyata bijak solid transportasi publik turun macet efisiensi sistem gerak kota kendara jalan efisien warga nikmat gerak ekonomi lancar akibat polusi fasilitas dukung transport publik tingkat trotoar lebar lahan rapi toko pinggir jalan hidup masyarakat buka usaha jalan transportasi publik susah paragraf,negatif,aneh banget subsidi kendara pribadi pakai anggar negara bayar usaha malah dorong program ada ev buat jabat memberi duit buat kkn proyek ada ev jabat   punya saham usaha sembari dapat baru pakai anggar negara   dapat ras duit pajak masyarakat kecil padahal transportasi publik sendiri pada cuma jakarta kota kota   bantu   dorong kembang layan transportasi publik rata nih padahal ahli kota nyata bijak solid transportasi publik turun macet hingga efisiensi sistem gerak kota lebih tepat waktu kendara jalan lebih efisien warga kecil nikmat akhir gerak ekonomi lebih lancar akibat lain kurang polusi fasilitas dukung transport publik tingkat trotoar lebar lahan pukul rapi toko pinggir jalan hidup dulu masyarakat kecil lebih banyak sempat buka usaha jalan   banyak lalu transportasi publik sebab semua susah jadi paragraf 
37,UgyPievX3l_ypHtbo2B4AaABAg,Erama Gh25,2023-07-07 13:25:38+00:00,    beli cuma   duidnya bgsd,beli duidnya bangsat,negatif,    beli cuma   duidnya bangsat
38,UgySOUPyxBMGjbHozah4AaABAg,MercyMe,2023-07-07 11:16:57+00:00,infrastruktur bom pada harga unit mahal,infrastruktur bom harga unit mahal,negatif,infrastruktur bom pada harga unit mahal
39,Ugwp4q-M41KTZ4GawjF4AaABAg,Inta,2023-07-07 03:56:45+00:00,coba cek jabat staf ngomong soal sehariya pakai,coba cek jabat staf bicara sehariya pakai,negatif,coba cek jabat staf berbicara soal sehariya pakai
40,Ugx5hI92vUPSncyzjoZ4AaABAg,MMD DS,2023-07-06 22:35:49+00:00,musim hujan banjir kek bahaya pake awat ribet ganti baterai mahal,musim hujan banjir bahaya pakai awat ribet ganti baterai mahal,negatif,musim hujan banjir kayak bahaya pakai awat ribet ganti baterai mahal
41,UgxlZXQ5ENzAv5BuvV14AaABAg,Sky Editing Batam,2023-07-06 16:16:15+00:00,yakin masyarakat alih apabila harga sama bahan bakar fosil produsen beri wajib produksi bentuk   sama bahan bakar fosil biasa produksi buat versi   murah ukur kecil ingat masyarakat beli mayoritas beli kendara bawa keluarga,masyarakat alih harga bahan bakar fosil produsen wajib produksi bentuk bahan bakar fosil produksi versi murah ukur masyarakat beli mayoritas beli kendara bawa keluarga,negatif,yakin masyarakat alih apabila harga sama bahan bakar fosil produsen beri wajib produksi bentuk   sama bahan bakar fosil biasa produksi buat versi   murah ukur kecil ingat masyarakat beli mayoritas beli kendara bawa keluarga
42,Ugx8_EzV1yvHhp0hK-V4AaABAg,Abner Moses,2023-07-06 11:38:46+00:00,lama bensin   laku harga lebih mahal,bensin laku harga mahal,positif,lama bensin   laku harga lebih mahal
43,UgyliI-ZU8DsDwAYXbV4AaABAg,Midhian Subekti,2023-07-06 10:22:07+00:00,bukan   mau beli terlalu mahal,beli mahal,negatif,bukan   mau beli terlalu mahal
44,UgwLp2Ai329bzdpRV2x4AaABAg,axel & yola,2023-07-06 07:38:12+00:00,teknologi baru developnya sempurna mesin bensin oke develop   uda ratus tahun kuatir mirip hnphone pakai tahun batre   kembung batre drop ev kerja sama ama rakkipanda viz oke sih,teknologi developnya sempurna mesin bensin oke develop ratus kuatir hnphone pakai baterai kembung baterai drop ev kerja rakkipanda viz oke,positif,teknologi baru developnya sempurna mesin bensin oke develop   sudah ratus tahun kuatir mirip hnphone pakai tahun baterai   kembung baterai drop ev kerja sama sama rakkipanda viz oke sih
45,Ugz15XcYwVifRXEi_ix4AaABAg,Willoughbia elmerii,2023-07-06 05:48:21+00:00,lebih efisien   beli   duit mau korupsi  ,efisien beli duit korupsi,positif,lebih efisien   beli   duit mau korupsi  
46,Ugwvfthm39DfWlZ5vn14AaABAg,calon pengkhianat,2023-07-06 05:23:11+00:00,proyek ambisius   gagal total,proyek ambisius gagal total,negatif,proyek ambisius   gagal total
47,UgyIQSTuXSuVyIE3jjJ4AaABAg,Bun pie Ang,2023-07-06 04:42:29+00:00,tempat chas tambah,chas,netral,tempat chas tambah
48,UgxyIZFWsg81fFnfZ9V4AaABAg,Boby rico,2023-07-06 03:40:30+00:00,hayo bingung iru punya,hayo bingung iru,positif,hayo bingung iru punya
49,Ugz1STFVIyQaVM-3gV54AaABAg,Cristalwrap,2023-07-06 03:17:04+00:00,omong kosong berita mantap fakta zero,omong kosong berita mantap fakta zero,negatif,omong kosong berita mantap fakta zero
50,UgyWh6o1hmq0fQPLpVN4AaABAg,Budiman Tedja Saputra,2023-07-06 03:14:39+00:00,banyak bahas efisiensi kurang polusi udara ceo toyota produksi cemar udara toyota usai buat bagaimana capai jabat level ceo usaha,bahas efisiensi polusi udara ceo toyota produksi cemar udara toyota capai jabat level ceo usaha,negatif,banyak bahas efisiensi kurang polusi udara ceo toyota produksi cemar udara toyota usai buat bagaimana capai jabat level ceo usaha
51,Ugyb9HTgrB3QUknxcGR4AaABAg,Indra Fahri ( shadow TV MAN ),2023-07-06 02:57:10+00:00,iya   jalan sering banget ketemu kendara jalan,jalan ketemu kendara jalan,positif,iya   jalan sering banget ketemu kendara jalan
52,UgwhfeyoAqCQWJ59_4J4AaABAg,gameoff,2023-07-06 01:20:11+00:00,mending turu punya malah iklan ampun gusti,mending turu iklan ampun,positif,mending turu punya malah iklan ampun gusti
53,UgxWf81-u7NhKzyBgOt4AaABAg,Eddy Jocom,2023-07-06 00:38:54+00:00,apa rakyat mau chanel apa,rakyat chanel,negatif,apa rakyat mau chanel apa
54,UgxuEqopgIM6KhiG5fJ4AaABAg,The Reaction,2023-07-05 23:57:57+00:00,harga jual   mahal banding kendara biasa gimana masyarakat mau beli,harga jual mahal banding kendara masyarakat beli,positif,harga jual   mahal banding kendara biasa bagaimana masyarakat mau beli
55,UgzG1sXCLt63teKgxoJ4AaABAg,MBOH YO,2023-07-05 23:46:06+00:00,jelas dunia butuh kendara bas dunia butuh energi baru   nyinyir go to hel   kalian,dunia butuh kendara bas dunia butuh energi nyinyir go to hel,negatif,jelas dunia butuh kendara bas dunia butuh energi baru   nyinyir go to hel   kalian
56,UgwhbcLUiUjs1WPd_Ih4AaABAg,Kenedi Kenedi,2023-07-05 23:18:33+00:00,rakyat dong pikir jangan bisdis   hitung hitung rugi rakyat dakkayak,rakyat pikir bisdis hitung hitung rugi rakyat dakkayak,negatif,rakyat dong pikir jangan bisdis   hitung hitung rugi rakyat dakkayak
57,UgypKmila4jVWabelJl4AaABAg,Dcdi Wizaya OFFICIAL,2023-07-05 22:20:00+00:00, sulit hidup promosi monopoli naik harga bensin liat irit padahal sulit,sulit hidup promosi monopoli harga bensin lihat irit sulit,positif, sulit hidup promosi monopoli naik harga bensin lihat irit padahal sulit
58,Ugxz19MikisEhyhff_14AaABAg,Queen Allena,2023-07-05 17:45:43+00:00,modelenya krg bagus  semua ,modelenya bagus,negatif,modelenya kurang bagus  semua 
59,UgwEa5gyZoE9wyUz7oF4AaABAg,Rich Akkisimo,2023-07-05 16:02:13+00:00,nama beli kendara ulang ulang bbm   pakai puluh tahun rusak   baik dikit sekali rusak keluar uang   harga baru batterynya ampun sulit jangka dekat mungkin tahun,nama beli kendara ulang ulang bahan bakar minyak pakai puluh rusak rusak uang harga batterynya ampun sulit jangka,negatif,nama beli kendara ulang ulang bahan bakar minyak   pakai puluh tahun rusak   baik sedikit sekali rusak keluar uang   harga baru batterynya ampun sulit jangka dekat mungkin tahun
60,UgzmiDCAg6Vyo2poGqp4AaABAg,Anggel Prameswari,2023-07-05 15:06:19+00:00,ngeri ges gharga baterainyah buat nambah bini kuda,ngeri gas gharga baterainyah tambah bini kuda,negatif,ngeri gas gharga baterainyah buat menambah bini kuda
61,UgyoJ-ZI85tr4Nv9ipB4AaABAg,Perspektif,2023-07-05 14:51:55+00:00,stop bbm kelar urus simple,stop bahan bakar minyak selesai urus simple,positif,stop bahan bakar minyak selesai urus simple
62,UgxoTNiMFpQdGUCpTXV4AaABAg,ahmad 318,2023-07-05 14:51:00+00:00,hybrid,hybrid,netral,hybrid
63,UgxBinhgKJAiH-r2k_14AaABAg,victimov talent,2023-07-05 11:42:46+00:00,mulai deh maen paksa dn ancam mental kolonial,main paksa ancam mental kolonial,negatif,mulai deh main paksa dan ancam mental kolonial
64,UgyywrBurkzTniU4jRZ4AaABAg,Harry 吴友丰 Wu YouFeng,2023-07-05 10:53:20+00:00,sedia dulu wc tempat berak  jangan  udh mau berak baru siap biasa sih mnrt negara rncakan matang dl sblm jalan terima   baru masa  lebih  pintar kalian   das sih kyknya  ,sedia toilet berak berak negara rncakan matang jalan terima pintar das,negatif,sedia dulu toilet tempat berak  jangan  sudah mau berak baru siap biasa sih menurut negara rncakan matang dulu sebelum jalan terima   baru masa  lebih  pintar kalian   das sih sepertinya  
65,UgwkqFdRiNkADbuyKUt4AaABAg,Heidhou,2023-07-05 10:47:18+00:00,kendara kendara kota keluar kota mikir otomatis punya kendara   tenang luar kota arti unit rumah ngk semua rakyat indonesia mampu beli unit harga murah mesin ken,kendara kendara kota kota pikir otomatis kendara tenang kota arti unit rumah rakyat indonesia beli unit harga murah mesin ken,negatif,kendara kendara kota keluar kota pikir otomatis punya kendara   tenang luar kota arti unit rumah tidak semua rakyat indonesia mampu beli unit harga murah mesin ken
66,UgwX7cskjni__snPest4AaABAg,INFO KINI CHANNEL,2023-07-05 07:53:21+00:00,harga mahal murah konvensional   harga bawah konvensional laku keras,harga mahal murah konvensional harga konvensional laku keras,positif,harga mahal murah konvensional   harga bawah konvensional laku keras
67,Ugzoya9EiqFkrcd4_iF4AaABAg,easy simple,2023-07-05 07:10:23+00:00,bagi gratis pajak umur hidup siap terima senang hati,gratis pajak umur hidup terima senang hati,positif,bagi gratis pajak umur hidup siap terima senang hati
68,UgwoArUw4TcHprDN1VB4AaABAg,Rangga Gunawan Putra,2023-07-05 06:12:52+00:00,jt bawah bukan harga jangkau orang mikir beli ev harga jt cuma ukur agya harga agya sendiri jauh bawah   ev mau laku gampang bikin harga jual mirip sama harga lcgc,juta harga jangkau orang pikir beli ev harga juta ukur agya harga agya ev laku gampang bikin harga jual harga lcgc,positif,juta bawah bukan harga jangkau orang pikir beli ev harga juta cuma ukur agya harga agya sendiri jauh bawah   ev mau laku gampang bikin harga jual mirip sama harga lcgc
69,UgwA-l5Kyt9Ifqrjnid4AaABAg,Arief P,2023-07-05 05:24:47+00:00,analisa masyarakat malas beli takut habis baterai jalan keluar kota banyak stasiun isi baterai masalah servicenya nunggu bulan bulan garansi bentuk bagus sangat mahal mending beli mercy bmw harga lebih murah sama bentuk mewah harga murah bentuk kecil aneh mending beli avanza xpander veloz harga lebih murah,analisa masyarakat malas beli takut habis baterai jalan kota stasiun isi baterai servicenya tunggu garansi bentuk bagus mahal mending beli mercedes bmw harga murah bentuk mewah harga murah bentuk aneh mending beli avanza xpander veloz harga murah,negatif,analisa masyarakat malas beli takut habis baterai jalan keluar kota banyak stasiun isi baterai masalah servicenya menunggu bulan bulan garansi bentuk bagus sangat mahal mending beli mercedes bmw harga lebih murah sama bentuk mewah harga murah bentuk kecil aneh mending beli avanza xpander veloz harga lebih murah
70,UgxeKdtX2B5rp2QzCfN4AaABAg,AutoPilotX,2023-07-05 03:00:15+00:00,cnbc semua kantor berita asing mau coba goyang indonesia bawa rakyat gerah  lihat  jokowi   atur kayak presiden belum jual kokain   kalian rakyat kalian kerja cia dulu as senjata tukar kokain era contras made in as nikaragua rakyat kalian zombi kensington pensylvania,cnbc kantor berita asing coba indonesia bawa rakyat gerah lihat jokowi atur presiden jual kokain rakyat kerja cia as senjata tukar kokain era contras made in as nikaragua rakyat zombi kensington pensylvania,negatif,cnbc semua kantor berita asing mau coba goyang indonesia bawa rakyat gerah  lihat  jokowi   atur kayak presiden belum jual kokain   kalian rakyat kalian kerja cia dulu as senjata tukar kokain era contras made in as nikaragua rakyat kalian zombi kensington pensylvania
71,Ugx8eZC07EipH0l9DgZ4AaABAg,Nasib Telaumbanua,2023-07-05 02:48:08+00:00,anggota dpr muat alas rakya kecil padahal demokrat korupsi besar besar,anggota dewan wakil rakyat muat alas rakya demokrat korupsi,negatif,anggota dewan perwakilan rakyat muat alas rakya kecil padahal demokrat korupsi besar besar
72,UgzdfTVBqvTNLzwcdvN4AaABAg,Pradana,2023-07-05 02:30:54+00:00,bukan   laku mahal,laku mahal,negatif,bukan   laku mahal
